screen name,user id
schnezana,8.24e+17
wizzy889,7.4e+17
hackinbush,8.52e+17
DrChzbrgr,8.57e+17
LSATgunner,8e+17
dgvreiman,7.97e+17
Time4America1st,258079774.0
calidutch,25720909.0
Jodicorfield1,7.74e+17
Atlantiso1,47133990.0
pliersnwires,59843216.0
bclark302,990356426.0
leadglazier63,8.18e+17
BrentGrantUSA,8.06e+17
IAmURWRSTNGTMaR,8.88e+17
VakilBharati,415847548.0
pinballtoddy,3139719522.0
AthenaZues1,8.24e+17
Luca3Brasi,2912804610.0
xtremevita,336538725.0
momdubey,7.94e+17
Craigcotsmire,8.16e+17
POTUSTrump1FAN,8.16e+17
BackInID,8.82e+17
Matthiesen_FWTX,92404875.0
robjonesinfo,4831893740.0
thegudshepherd,99931820.0
hectormorenco,3420965393.0
NancyLucky,36287043.0
busybusybees,3421521977.0
AT_right_of_ctr,7.17e+17
dublelee,4519910728.0
bobwb3s,2466598795.0
brian_campbe11,8.12e+17
worryinahurry,2881471770.0
MJonCannon,8.64e+17
shadey105,7.17e+17
newgyan,8.56e+17
stevesmtaylor,3387979726.0
FatBoynerd,9.06e+17
LEC21452,1276032140.0
Chelle_Shocker,7.87e+17
MarkJamesWard,8.17e+17
budb66,3334087930.0
Xronos29929,8.37e+17
QBDAD,39097744.0
djss1grgr,2502463908.0
Qstonegeorgia,3115684149.0
john_kaltsas,2951878577.0
everchacon,81766196.0
rodgeeg,4764424675.0
presidentDjtr,9.1e+17
noahthomason420,8.26e+17
AkaZackk,7.61e+17
hmblount,2885596915.0
jcmatta,21067470.0
littlenancy918,7.03e+17
TheOwlJolson,9.09e+17
juniman73,1385552851.0
Daemar13,3187041558.0
rajoro,15136887.0
ceeforeign,3232713037.0
MNAmeriBrit,224498247.0
winslowlaroche,23135268.0
007mafiawars,221660916.0
badthoughtsnow,2411491802.0
Tracy_Keonne,798955915.0
ayeyocheryl,8.2e+17
warxsoul,2444900060.0
mac611,41269691.0
monicalynette11,271717515.0
xfilestrustno1,529705715.0
KwabenaSharif,234903659.0
Sttephy,1653419318.0
Mr904,32776830.0
OLVOXO,115663962.0
OddTheManga,8.46e+17
StephanieBengal,82828391.0
aawkwardsmiles,7.08e+17
Uncle_Lou2U,487160336.0
Trebled85,4908334634.0
St33zyxSaleen,31571933.0
patvinzant,7.03e+17
ISetItOff,22503242.0
__RealJohnnB,218680227.0
LoniElbert,451208141.0
Mark_Folarin,249349696.0
ToniTiger15,7.77e+17
Hausmusicislife,2239767961.0
samrawsten,7.32e+17
PheniciaAkira,2372347440.0
mysistahskeeper,215521908.0
CyrexMC,1932695348.0
engerson_uno,8.61e+17
Devy_Dev1986,2567484552.0
duntnitt,348964194.0
KodokuXKloud,2935588147.0
johncarson_9,1520730133.0
voguechantel,8.91e+17
OgTopDoc,8.23e+17
chasebeatz,44802847.0
RobertM25828299,7.11e+17
TheRonnonster,486231549.0
Sway_____,2412492968.0
rrobertschwartz,594337767.0
GPaszek_,7.89e+17
spookworm1,9.04e+17
BuklbooJohn,2479430317.0
MShutlz,8.9e+17
j3d1k,8.17e+17
chronocat81,7.32e+17
ThomasRLawson4,8.21e+17
turrible_tao,2550392606.0
McDeepState,8.07e+17
Johnny__MAGA,7.43e+17
WowJones1642,8.82e+17
keith_sr1,6.97e+17
JKBoyer77,7.82e+17
MildlyAmusedCon,8.72e+17
MichaelA10247,4568175495.0
BrianHa73775244,8.52e+17
kruise_man,164792334.0
bombthreat1212,7.97e+17
RicoBrasiBihh,1007023922.0
mrsofficer100,125391134.0
theGOPteens,9.12e+17
immortalshyne,8.46e+17
qtm261,1104641480.0
qubbajBG,8.12e+17
DonovanLHarmon,8.35e+17
MarilynShephe15,1418377147.0
Sekc___,2321375533.0
dipsetcarini,109115584.0
Son_Of_Odin1488,9.03e+17
fats50,161387735.0
RachelSchorr3,8.75e+17
_NARRYBALLSx,168999262.0
LoooveMnts,154445367.0
RedNationAlive,74257510.0
hameneyro,2796405319.0
masterkief31,8.92e+17
Proud2beGeechie,551637639.0
VincentBlack70,3207600215.0
Fuckhead88,9.09e+17
_Danbino,3076604175.0
platte_michael,2343922427.0
bangtxn7,1654000226.0
NateHiggers14Tx,8.95e+17
SeriouslySlavy,8.99e+17
JORGELUISBURGOS,48519276.0
DacaThotSquads,8.44e+17
KuntEnraged,7.2e+17
VinsmokeWho,8.83e+17
M_Maccers,1377714836.0
doba_alex,3305634820.0
aBigMess,27578677.0
C_D_Brewer,858037200.0
markz1000,849910460.0
vanjaguar1996,445694963.0
Rparisee,1339944438.0
buildthatwall45,8.99e+17
_No_Name_No1,8.75e+17
derekhanson75,1330869787.0
elmocanuck,8.97e+17
marierouach,265403950.0
chgardens1,257000097.0
canada_man1,8.94e+17
michael09853833,9.12e+17
WANGNGEO,1078257860.0
mike_saba6,7.46e+17
AdamTexas11,8.83e+17
holupbigbaby,445659552.0
