,# favorite of tweet,# followers,# following,# of hastags,# of mentions,# retweets of tweet,account creation date,in reply to,location,name,number of account tweets,screen name,term,time,tweet,user id
1833,0,1006,1152,0,"[{'screen_name': 'basqjr', 'name': 'Charles T Walker III', 'id': 383366281, 'id_str': '383366281', 'indices': [3, 10]}, {'screen_name': 'LiveLikeKris', 'name': 'Kris 💙', 'id': 484407977, 'id_str': '484407977', 'indices': [12, 25]}]",380,Tue Mar 04 23:14:23 +0000 2014,,"Bronx, NY",Jack Frost,19477,DaSpinesplitta,jigaboo,Thu Sep 14 16:24:20 +0000 2017,RT @basqjr: @LiveLikeKris Did she say jigaboo too?? Oh yeah this one for the culture https://t.co/KmkKNljwRV,2372795058
1834,0,528,406,0,"[{'screen_name': 'basqjr', 'name': 'Charles T Walker III', 'id': 383366281, 'id_str': '383366281', 'indices': [3, 10]}, {'screen_name': 'LiveLikeKris', 'name': 'Kris 💙', 'id': 484407977, 'id_str': '484407977', 'indices': [12, 25]}]",380,Wed Feb 03 15:29:37 +0000 2016,,Bronx NY,$lump 🅥 ++,22559,CloutKingEd,jigaboo,Thu Sep 14 15:58:17 +0000 2017,RT @basqjr: @LiveLikeKris Did she say jigaboo too?? Oh yeah this one for the culture https://t.co/KmkKNljwRV,4874114181
1835,0,1553,808,0,"[{'screen_name': 'Ryione2', 'name': 'Peaches✨', 'id': 868845429462630400, 'id_str': '868845429462630400', 'indices': [3, 11]}, {'screen_name': 'DAVIDFINEASS', 'name': '11:16', 'id': 276986359, 'id_str': '276986359', 'indices': [13, 26]}]",1,Mon Apr 04 13:39:50 +0000 2011,,in the ocean..,11:16,325213,DAVIDFINEASS,jigaboo,Thu Sep 14 15:58:08 +0000 2017,RT @Ryione2: @DAVIDFINEASS Girl said jigaboo 😭,276986359
1836,0,912,555,0,"[{'screen_name': 'DAVIDFINEASS', 'name': '11:16', 'id': 276986359, 'id_str': '276986359', 'indices': [0, 13]}]",1,Sun May 28 15:04:27 +0000 2017,276986359.0,"the RO, New Orleans ",Peaches✨,12250,Ryione2,jigaboo,Thu Sep 14 15:57:24 +0000 2017,@DAVIDFINEASS Girl said jigaboo 😭,868845429462630400
1837,0,243,119,0,[],0,Sun May 08 13:11:05 +0000 2016,7.292975690635059e+17,"Newark, NJ",Malcom,18752,malcomgotone,jigaboo,Thu Sep 14 15:52:13 +0000 2017,"""I left , jigaboo toss right on 1 """,729297569063505920
1838,0,1621,783,0,"[{'screen_name': 'basqjr', 'name': 'Charles T Walker III', 'id': 383366281, 'id_str': '383366281', 'indices': [3, 10]}, {'screen_name': 'LiveLikeKris', 'name': 'Kris 💙', 'id': 484407977, 'id_str': '484407977', 'indices': [12, 25]}]",380,Mon Apr 18 10:06:57 +0000 2011,,Neptune 🌟,kg,39032,kennytheshaark,jigaboo,Thu Sep 14 15:40:45 +0000 2017,RT @basqjr: @LiveLikeKris Did she say jigaboo too?? Oh yeah this one for the culture https://t.co/KmkKNljwRV,283949978
1839,0,1134,743,0,"[{'screen_name': 'basqjr', 'name': 'Charles T Walker III', 'id': 383366281, 'id_str': '383366281', 'indices': [3, 10]}, {'screen_name': 'LiveLikeKris', 'name': 'Kris 💙', 'id': 484407977, 'id_str': '484407977', 'indices': [12, 25]}]",380,Fri Sep 23 02:48:56 +0000 2011,,🌎☄️💕,swervo ☄️,32047,JHerbo3x,jigaboo,Thu Sep 14 14:40:24 +0000 2017,RT @basqjr: @LiveLikeKris Did she say jigaboo too?? Oh yeah this one for the culture https://t.co/KmkKNljwRV,378371225
1840,2,302,216,0,"[{'screen_name': 'inquisitorpence', 'name': 'zika', 'id': 822777144308797443, 'id_str': '822777144308797443', 'indices': [0, 16]}]",0,Tue Dec 20 13:21:28 +0000 2016,8.227771443087974e+17,,AntiDunwichLeague,3759,DoctorArmitage,jigaboo,Thu Sep 14 14:32:55 +0000 2017,"@inquisitorpence Don't have one, but would hate them less if they weren't all programmed to blast jigaboo music bec… https://t.co/SIYEWgCap5",811199843897143296
1841,0,1909,1191,0,"[{'screen_name': 'basqjr', 'name': 'Charles T Walker III', 'id': 383366281, 'id_str': '383366281', 'indices': [3, 10]}, {'screen_name': 'LiveLikeKris', 'name': 'Kris 💙', 'id': 484407977, 'id_str': '484407977', 'indices': [12, 25]}]",380,Wed Jul 16 02:52:27 +0000 2014,,"East Palo Alto, CA",Baby Beard,45467,Rajward2,jigaboo,Thu Sep 14 14:15:18 +0000 2017,RT @basqjr: @LiveLikeKris Did she say jigaboo too?? Oh yeah this one for the culture https://t.co/KmkKNljwRV,2649811472
1842,1,140,135,0,"[{'screen_name': 'LivLeslie', 'name': 'Liv', 'id': 27177392, 'id_str': '27177392', 'indices': [0, 10]}, {'screen_name': 'LiveLikeKris', 'name': 'Kris 💙', 'id': 484407977, 'id_str': '484407977', 'indices': [11, 24]}]",0,Tue Mar 20 00:05:44 +0000 2012,27177392.0,,laurenn,2927,laurenncarterr,jigaboo,Thu Sep 14 13:45:47 +0000 2017,@LivLeslie @LiveLikeKris i've never heard the word jigaboo before... this girl is a level 5 racist,529935558
1843,0,217,78,0,"[{'screen_name': 'basqjr', 'name': 'Charles T Walker III', 'id': 383366281, 'id_str': '383366281', 'indices': [3, 10]}, {'screen_name': 'LiveLikeKris', 'name': 'Kris 💙', 'id': 484407977, 'id_str': '484407977', 'indices': [12, 25]}]",380,Wed Oct 24 00:20:25 +0000 2012,,"Atlanta, GA",Ryan,21450,EarlDibbles_,jigaboo,Thu Sep 14 13:16:21 +0000 2017,RT @basqjr: @LiveLikeKris Did she say jigaboo too?? Oh yeah this one for the culture https://t.co/KmkKNljwRV,900858457
