Unnamed: 0,# favorite of tweet,# followers,# following,# of hastags,# of mentions,# retweets of tweet,account creation date,in reply to,location,name,number of account tweets,phrase,race,screen name,time,tweet,user id,classification,compound score
5099,0.0,2576.0,3424.0,0.0,2.0,0.0,Sun May 31 07:29:18 +0000 2009,235769468.0,Atlanta,Ben Gunby,189880.0,spade,black,gumby61184,Tue Sep 19 21:05:39 +0000 2017,@Breyionna @jaredxcantrell A spade is a spade,43658351.0,Hate speech,0.0
5100,0.0,612.0,409.0,0.0,1.0,0.0,Tue Mar 24 23:55:02 +0000 2009,211932365.0,NYC,.,19089.0,spade,black,brass_bonanza,Tue Sep 19 20:59:29 +0000 2017,@randiyo Anything Kate spade 💜,26363674.0,Hate speech,0.0
5102,0.0,192.0,714.0,0.0,0.0,0.0,Mon Jun 27 04:28:19 +0000 2011,,Norway,Sandip Natt,4561.0,spade,black,Scouser_Sunny,Tue Sep 19 20:36:40 +0000 2017,Theres too many fickle fucking fans. call a spade a spade! our team and klopp bottling it in too many games in a row.. change capt for start,324747957.0,Hate speech,0.0
5103,1.0,756.0,293.0,0.0,1.0,0.0,Wed Aug 17 06:06:56 +0000 2011,275276082.0,United States,632bbc,9942.0,spade,black,Bigweights,Tue Sep 19 20:30:49 +0000 2017,@Thomas1774Paine Calling a spade a spade in my book!,356678758.0,Hate speech,0.0
5105,0.0,27.0,94.0,0.0,2.0,0.0,Thu Mar 10 14:51:09 +0000 2016,1694222593.0,"Phoenix, AZ",The Angry Rabbi,2068.0,spade,black,gottta_have_it,Tue Sep 19 20:20:00 +0000 2017,@fyzzgiggidy @TheCartoonLoon Theyre spade shaped for grinding plants,7.079418711845356e+17,Hate speech,0.0
5106,0.0,128.0,237.0,0.0,0.0,0.0,Mon Aug 22 23:59:42 +0000 2016,,"Washington, USA",Nancy Wood,5413.0,spade,black,semihackedoff,Tue Sep 19 20:09:51 +0000 2017,"Let's start today to call a spade a spade.It's not ""America first"".It's America ALONE.It's not the ""righteous few"".It's the fanatic minority",7.67873914814931e+17,Hate speech,0.0
5107,0.0,2339.0,216.0,0.0,1.0,0.0,Tue Aug 16 19:38:29 +0000 2016,450836562.0,"Michigan, USA",Big Drew and Jim,19003.0,spade,black,BigDrewandJim,Tue Sep 19 19:28:39 +0000 2017,@alexbisel What is obtuse about wanting to call a spade a spade and a duck a duck?,7.656338489021604e+17,Hate speech,0.0
5108,0.0,593.0,1203.0,0.0,1.0,0.0,Sat Mar 19 01:46:30 +0000 2011,54558211.0,"Mississippi, USA",Wally West,57053.0,spade,black,DC601daSuperman,Tue Sep 19 19:28:08 +0000 2017,@tsddrake Lolol no but he is sometimes scared to call a spade a spade,268572000.0,Hate speech,-0.6652
5109,3.0,2392.0,2379.0,0.0,2.0,1.0,Sat Jan 16 21:53:23 +0000 2010,755113.0,"Los Angeles, CA",Tennessee Webb,9074.0,spade,black,tennesseewebb,Tue Sep 19 19:27:51 +0000 2017,@ShaunKing @carmenvellon Thanks for calling a spade a shovel. He is a national &amp; International disgrace to the fabr… https://t.co/YntnIxyBZE,105602024.0,Hate speech,-0.0772
5111,7.0,453.0,508.0,0.0,2.0,3.0,Tue Nov 29 22:36:02 +0000 2011,8.233351583506842e+17,"Vancouver, BC",Tony Cook,6608.0,spade,black,dcracing_tony,Tue Sep 19 19:12:34 +0000 2017,@MorattiJ @MelanieEresman Carbon price? Call a spade a spade. It's a job killing TAX that will have zero effect on the environment,424556647.0,Hate speech,-0.6597
5112,5.0,690.0,551.0,0.0,0.0,0.0,Fri Feb 10 01:05:05 +0000 2012,,"Bowling Green, OH",Suz,6974.0,spade,black,SusieFoos,Tue Sep 19 19:08:19 +0000 2017,Broke my kate spade phone case i bought in august already... this is why I can't have nice things😂,488047283.0,Hate speech,-0.6288
5113,144.0,9465.0,339.0,0.0,0.0,56.0,Sat Dec 24 02:07:33 +0000 2016,,"Virginia, USA",Saul Montes-Bradley,26306.0,spade,black,Debradelai,Tue Sep 19 19:01:05 +0000 2017,"Trump: ""No nation in the world has an interest in seeing this band of criminals arm itself with nuclear weapons.""

A spade is a spade again.",8.124797958419456e+17,Hate speech,-0.4404
5114,1.0,172.0,343.0,0.0,2.0,0.0,Sat Apr 30 17:57:29 +0000 2011,24735849.0,magic mountain,tom davies' socks,3108.0,spade,black,benhiggs83,Tue Sep 19 18:42:47 +0000 2017,"@Riggers__ @AccidentalBrent ""Until that spade says stop calling me a spade we'll call him a spade"" fuck me that's some denial that!!!",290671936.0,Hate speech,-0.7633
5119,1.0,147.0,294.0,0.0,2.0,0.0,Fri Jan 04 19:29:39 +0000 2013,14616610.0,"North Carolina, USA",Nick Spodaddy,4614.0,spade,black,SpodaddyJr,Tue Sep 19 18:24:50 +0000 2017,"@RobGeorge @dandrezner So, was he wire tapped or no? Cause, we can sort through the terminology or we can call a spade a spade",1061246173.0,Hate speech,-0.29600000000000004
5121,0.0,642.0,398.0,0.0,2.0,0.0,Sun Apr 08 06:56:08 +0000 2012,341101965.0,Michigan State University,Lucas Willyard,21004.0,spade,black,LucasWillyard,Tue Sep 19 17:45:12 +0000 2017,"@KSpade64 @Da_Czar Might be a low Gatorade energy spade, don't know the hit your player takes with 0% vs. some, but I know there is one",548295177.0,Hate speech,0.0
5125,0.0,313.0,139.0,0.0,1.0,0.0,Tue Nov 22 16:17:13 +0000 2011,428333.0,"Toronto, On. Canada",john beechy,360972.0,jews,jews,JohnBeechy,Tue Sep 26 17:10:49 +0000 2017,"@cnnbrk Iran vows to stand with Baghdad, Ankara against Iraqi Kurds' independence push (Reuters)// just IN.. iran has nukes.&amp; to use on jews",418815175.0,Hate speech,0.0
5126,0.0,235.0,695.0,0.0,1.0,0.0,Wed Dec 02 00:36:27 +0000 2009,8.953172689005855e+17,"Brooklyn, NY",Asher NotRoth 👨‍⚖️,12153.0,jews,jews,Low_rax,Tue Sep 26 17:07:04 +0000 2017,@solid_jews dude literally defended one of Steve King's most openly racist quotes as...not being racist.,93981868.0,Hate speech,-0.861
5127,0.0,551.0,553.0,0.0,2.0,0.0,Sat Jan 19 20:54:16 +0000 2013,1962858174.0,"Hebron, ND",ATHEIST PimplePopper,2372.0,jews,jews,qtm261,Tue Sep 26 17:01:55 +0000 2017,@danirenee623 @iamAtheistGirl they should tease retarded christians and jews and moslems....,1104641480.0,Hate speech,-0.7184
