,Unnamed: 0,# favorite of tweet,# followers,# following,# of hastags,# of mentions,# retweets of tweet,account creation date,in reply to,location,name,number of account tweets,phrase,race,screen name,time,tweet,user id,Sentiment Score,Postive Score,Negative Score,Neutral Score,Positive Score
1023,1147,19.0,162.0,1714.0,0.0,1.0,4.0,Tue Jul 06 23:33:04 +0000 2010,236487888.0,,Kahlil Dozier,1445.0,i hate black,black,kahlildozier,Sun Sep 24 15:07:41 +0000 2017,"@WalshFreedom Ah, the classic ""unless you're caught red handed on tape saying 'I hate all black people', you can't… https://t.co/2653VUtFuF",163649829.0,-0.5719,,0.163,0.837,0.0
1024,1148,0.0,1004.0,1157.0,0.0,2.0,0.0,Tue Mar 04 23:14:23 +0000 2014,70882111.0,"Bronx, NY",Jack Frost,19540.0,i hate black,black,DaSpinesplitta,Sun Sep 24 15:05:10 +0000 2017,@pinkflospan @elleduncanESPN Lmao ... not the same dress ... and I only watch days Elle is on because I can't stand… https://t.co/EasgTLCOrn,2372795058.0,0.5994,,0.0,0.83,0.17
1025,1149,3.0,164.0,207.0,0.0,2.0,1.0,Fri Jul 17 14:03:37 +0000 2009,2393323908.0,Utah,KaLynne Dahle👠,4654.0,i hate black,black,KaLynneDahle,Sun Sep 24 15:00:06 +0000 2017,@thecjpearson @realDonaldTrump Liberals are especially vicious to black conservatives. I admire U for being able to… https://t.co/Ni8ltynMB5,57650496.0,0.079,,0.148,0.688,0.164
1026,1150,0.0,489.0,644.0,0.0,3.0,0.0,Fri Sep 28 15:28:24 +0000 2012,3261355016.0,Long Island NY,Bill from LI,2684.0,i hate black,black,BillyBarou2U,Sun Sep 24 14:56:31 +0000 2017,@40oztoTony @JCaporoso @AndrewCMcCarthy Was talking to Joe. I hit reply. Sorry. I dont hate black people just dislike you,851251236.0,0.0253,,0.187,0.67,0.143
1027,1151,0.0,416.0,316.0,0.0,0.0,0.0,Sun Aug 13 01:36:58 +0000 2017,,"San Antonio, TX",starfire✨,1835.0,i hate black,black,afrikababybamm,Sun Sep 24 14:56:05 +0000 2017,I hate black people like this https://t.co/pO26KQbDRK,8.96546083136045e+17,-0.296,,0.363,0.392,0.245
1028,1152,6.0,4076.0,1070.0,0.0,0.0,0.0,Sat Jun 10 12:07:01 +0000 2017,,"Milford, NH",BlackPilled Pete,31556.0,i hate black,black,BlackPilledPete,Sun Sep 24 14:51:47 +0000 2017,Stop treating black people as your pets. I fucking hate that. https://t.co/W6NrbRdF5D,8.735118203755766e+17,-0.7346,,0.408,0.592,0.0
1029,1153,3.0,3024.0,537.0,0.0,0.0,0.0,Mon Dec 22 05:07:36 +0000 2008,,"Brooklyn, NY",cherchez la kokez,99592.0,i hate black,black,kokupuff,Sun Sep 24 14:51:18 +0000 2017,I hate when people describe themselves as black &amp; a country.,18301184.0,-0.5719,,0.316,0.684,0.0
1030,1154,0.0,673.0,188.0,0.0,2.0,0.0,Wed Sep 23 15:52:19 +0000 2009,267572807.0,Lake Minnetonka,Purified Bunny.,17349.0,i hate black,black,b_ambani,Sun Sep 24 14:49:27 +0000 2017,@ky_blanco @WalshFreedom First off i hate when white people say black peiple. Second how dare a white man call blac… https://t.co/mfRzNLN7ad,76676839.0,-0.5719,,0.171,0.829,0.0
1031,1155,0.0,1388.0,563.0,0.0,0.0,1.0,Sun Jan 11 16:44:34 +0000 2015,,"Louisiana, USA",ConsciousFilthGawd,56176.0,i hate black,black,RichieChampagne,Sun Sep 24 14:41:33 +0000 2017,"Yeah Rex you just were cool with Mexican hate &amp; Muslim hate, you work with the black guys gotta love them am I righ… https://t.co/7kvHGxUO4x",2973376636.0,0.0772,,0.211,0.541,0.248
1032,1156,2.0,981.0,196.0,0.0,0.0,0.0,Mon Nov 15 23:39:50 +0000 2010,,Philadelphia,Drew Tomczak,5669.0,i hate black,black,DR3W215,Sun Sep 24 14:40:05 +0000 2017,All black shoes look like work shoes I hate it,216171610.0,-0.296,,0.28,0.53,0.189
1033,1157,3.0,1503.0,1251.0,1.0,0.0,1.0,Sat Mar 12 01:46:59 +0000 2016,,"Stamford, CT",Trump Revolution,56890.0,i hate black,black,TrumpRevoluti0n,Sun Sep 24 14:36:50 +0000 2017,What do you see with #TakeTheKnee I see black people who hate white people.,7.084693047029965e+17,-0.5719,,0.236,0.764,0.0
1034,1158,0.0,1174.0,3030.0,0.0,0.0,0.0,Tue Mar 03 18:29:09 +0000 2009,,D.C.,wlfpack81,196045.0,i hate black,black,wlfpack81,Sun Sep 24 14:26:28 +0000 2017,"3. chump here hates my dad b/c just like me, the NFL players, he’s black too. Why I hate when these trump chumps ta… https://t.co/AWUCLuu9wo",22656089.0,-0.6249,,0.219,0.698,0.083
1035,1159,0.0,427.0,297.0,0.0,0.0,0.0,Tue Mar 24 02:41:16 +0000 2009,,United States,Owenito,87793.0,i hate black,black,owlow_,Sun Sep 24 14:25:09 +0000 2017,All I'm saying is that it's a job to them just like yours is to you... so lead your own life and stop waiting to hate on other black folks.,26159347.0,-0.5267,,0.172,0.756,0.073
1036,1160,2.0,115.0,794.0,0.0,6.0,0.0,Sat Jul 22 14:28:50 +0000 2017,913199772.0,"Los Angeles, CA",Real Brother Radio™,6246.0,i hate black,black,RBRadioLIVE12,Sun Sep 24 14:22:03 +0000 2017,@Rhys_The_Fish @DiveConLFP @APBT_Rocket @USMCE8D @anwaryusef @TomiLahren Yes you hate me because I'm Black but that… https://t.co/9wSTix2HQV,8.887678005583421e+17,-0.128,,0.129,0.769,0.102
1037,1161,1.0,38.0,92.0,0.0,2.0,0.0,Fri Aug 17 16:54:20 +0000 2012,43761917.0,"Omaha, NE",Ailish 🇨🇮,490.0,i hate black,black,bullymamma77,Sun Sep 24 14:20:09 +0000 2017,@MarkRonson @WalshFreedom what kind of daft twat are you?! Another “black millionaire” I believe you’re covering up… https://t.co/WF7befoSZk,764059856.0,-0.69,,0.227,0.773,0.0
1038,1162,0.0,55.0,291.0,0.0,5.0,0.0,Sat Jun 11 10:44:11 +0000 2016,7.415817905241457e+17,"Florida, USA",hello,95.0,i hate black,black,Sikools,Sun Sep 24 14:19:02 +0000 2017,@arianapayno @sherilovetro @CaptainEichel15 @calebtcullen @ShaunKing Regardless of how many black people did. I get… https://t.co/xswissyTIE,7.415817905241457e+17,0.0,,0.0,1.0,0.0
1039,1163,5.0,680.0,319.0,0.0,0.0,6.0,Mon Dec 29 20:05:56 +0000 2008,,New York City,Ben,189956.0,i hate black,black,Nebkreb,Sun Sep 24 14:15:15 +0000 2017,"""I only signed up for him to hate women, latinos and Muslims! Not the small percentage of black guys that worked fo… https://t.co/tmDLLkH0Le",18457902.0,-0.6114,,0.154,0.846,0.0
1040,1164,0.0,385.0,903.0,0.0,1.0,0.0,Mon Dec 15 20:02:50 +0000 2014,25073877.0,"Grand Rapids, MI",Gwenpool,5494.0,i hate black,black,StacieTacopool,Sun Sep 24 14:13:46 +0000 2017,@realDonaldTrump I get it. Your hate for black people is greater than your love for our country.,2923554442.0,0.4588,,0.158,0.556,0.286
1041,1165,0.0,1129.0,1545.0,1.0,1.0,0.0,Sat Sep 09 22:32:30 +0000 2017,8.580556339622257e+17,United States,Hector Monfrida,2362.0,i hate black,black,HMonfrida,Sun Sep 24 14:09:40 +0000 2017,@jimbobcooter87 Agree I am wondering how my boss would feel if i waltzed into work and preached #HATE like… https://t.co/m4rskNhMt5,9.066465231733719e+17,0.3612,,0.0,0.872,0.128
1042,1166,0.0,59.0,111.0,0.0,4.0,0.0,Fri Feb 21 20:59:14 +0000 2014,51333486.0,"Dallas, TX",Lovell Carter,160.0,i hate black,black,lovellc24,Sun Sep 24 14:07:17 +0000 2017,@Clevelander85 @jemelehill @VerySmartBros @DamonYoungVSB 😂🤣Yelp as I figured you hate black men. Black women never… https://t.co/yCcsEmnOPk,2355326220.0,-0.5719,,0.209,0.791,0.0
1043,1167,1.0,5531.0,240.0,0.0,0.0,1.0,Sun Mar 22 21:54:35 +0000 2009,,NYC,Shadina Adia  🇬🇩,330856.0,i hate black,black,heybuddy1,Sun Sep 24 14:00:47 +0000 2017,"I really hate the fact that many of you try to tell people shut up by stating ""inner city"" violence &amp; black on black crime.",25888849.0,-0.9117,,0.356,0.644,0.0
1044,1168,1.0,2998.0,3081.0,0.0,0.0,1.0,Thu Mar 30 04:56:00 +0000 2017,,united states,Julia ❤🇺🇸#MAGA,10457.0,i hate black,black,JuliaDeplorable,Sun Sep 24 13:50:41 +0000 2017,I literally cried for hours yesterday. I hate watching liberals tear this country apart &amp; control Black minds.  The… https://t.co/hQ3RA8q586,8.473114226314568e+17,-0.743,,0.283,0.717,0.0
1045,1169,0.0,659.0,1135.0,0.0,2.0,0.0,Thu May 10 19:33:02 +0000 2012,1367531.0,"London, On ",The Bouch ™,8061.0,i hate black,black,PaulRBouchard,Sun Sep 24 13:46:24 +0000 2017,"@FoxNews @newtgingrich Translation ""I hate black people""",576509626.0,-0.5719,,0.381,0.619,0.0
1046,1170,0.0,202.0,527.0,0.0,1.0,0.0,Thu Jul 02 22:18:40 +0000 2009,53206857.0,"Cleveland, OH",Jesse Bowden,31520.0,i hate black,black,mhousej21,Sun Sep 24 13:46:02 +0000 2017,@TH_Da_06er Bevel is just fancy marketing...but it's a black company so I don't want to hate them too much...disapp… https://t.co/cPr4TUMgv9,53206857.0,0.3607,,0.073,0.781,0.146
1047,1171,1.0,788.0,205.0,0.0,0.0,0.0,Thu Feb 26 17:13:03 +0000 2009,,"Landlocked in Dallas, Texas",Voncile Mayes,39956.0,i hate black,black,allheavens,Sun Sep 24 13:40:43 +0000 2017,"I hate the bros, any spotlight on racial injustice for Black or brown people must be met with the ""let's not divide out our focus"" bullshit.",22033362.0,-0.9042,,0.337,0.663,0.0
1048,1172,0.0,2343.0,1787.0,0.0,0.0,0.0,Mon Apr 26 19:52:54 +0000 2010,137449254.0,unicorn,🌻,90191.0,i hate black,black,ofasqui,Sun Sep 24 13:38:11 +0000 2017,"Shame all of your features then get our plastic surgery, hate your skin but we go pay for tans, Dres a ""thug"" but I want little black curly",137449254.0,-0.5499,,0.204,0.747,0.049
1049,1173,1.0,1608.0,1964.0,0.0,1.0,0.0,Sun Jun 21 02:03:00 +0000 2009,2319339266.0,"Florida, USA",PompanoPete,74636.0,i hate black,black,Pompanopete,Sun Sep 24 13:37:43 +0000 2017,"@MADE__USA Yes ~ I am a Racist
I HATE STUPIDITY from a Game player!
I am as PROUD of being White as they are of being Black",49194495.0,-0.7798,,0.354,0.459,0.187
1050,1174,10.0,1458.0,2299.0,0.0,1.0,2.0,Tue Oct 07 15:13:06 +0000 2008,627053327.0,DC,Adebukola,47007.0,i hate black,black,Adebukola,Sun Sep 24 13:34:03 +0000 2017,@immigrant_legal Let me interpret this for you: I hate that black men are making millions of dollars and I'm stuck… https://t.co/2J611IjPLd,16631024.0,-0.5719,,0.163,0.837,0.0
1051,1175,1.0,429.0,568.0,0.0,0.0,0.0,Sun Jul 15 00:44:34 +0000 2012,,Tippy Top,Pat Murphy,18603.0,i hate black,black,murphmania_35,Sun Sep 24 13:33:05 +0000 2017,Yo I hate Xxxtentacion and Kodak Black,635857767.0,-0.5719,,0.425,0.575,0.0
1052,1176,0.0,17.0,193.0,0.0,1.0,0.0,Fri Oct 30 17:10:16 +0000 2015,1150914516.0,"Charlotte, NC",Daniel Boswell,134.0,i hate black,black,danboswellart,Sun Sep 24 13:31:53 +0000 2017,@nooneishere51 I'm sorry you blocked me for pointing out how much you hate black ppl. Now go hide online some more and be a proud bigot!,4076591603.0,-0.5759,,0.28,0.616,0.104
1053,1177,0.0,835.0,1067.0,0.0,2.0,0.0,Sun Aug 23 04:29:19 +0000 2009,31251709.0,America,MySharona ❤️🇺🇸💙,11376.0,i hate black,black,MeSharona1,Sun Sep 24 13:31:09 +0000 2017,@RobboLaw @Hublife A rep from black lives matter released the most racist hate filled statement I’ve ever heard. Disgusting.,68071773.0,-0.9113,,0.436,0.523,0.041
1054,1178,1.0,710.0,699.0,0.0,5.0,0.0,Wed Mar 09 10:25:35 +0000 2016,50666204.0,"Minnesota, USA",ken nichols,8666.0,i hate black,black,matator358,Sun Sep 24 13:26:28 +0000 2017,@echatepalla @Star8400CPD @rg4235 @TrinityBeliever @DougSides That shows me all I need to know about… https://t.co/zfVwojapV6,7.075126494588314e+17,0.0,,0.0,1.0,0.0
1055,1179,0.0,169.0,437.0,0.0,0.0,0.0,Mon May 21 07:44:49 +0000 2012,,Finland,Santtu 'MFG' Pesonen,5437.0,i hate black,black,TheMFG38,Sun Sep 24 13:24:56 +0000 2017,"&gt;record ~40 mins of Unreal gameplay footage
&gt;find out it's been recording a black screen this whole time

I hate recording footage.",586425123.0,-0.5719,,0.163,0.837,0.0
1056,1180,0.0,186.0,374.0,0.0,0.0,0.0,Sat Dec 26 03:15:38 +0000 2015,, SE WI,Mark W. Biefeld,5301.0,i hate black,black,MarkBiefeld,Sun Sep 24 13:24:33 +0000 2017,"Things I hate.

Black Walnuts...thousands this year. https://t.co/8Bx5cZ1McE",4606489395.0,-0.5719,,0.381,0.619,0.0
1057,1181,0.0,239.0,555.0,0.0,1.0,0.0,Tue Aug 09 13:33:46 +0000 2011,25073877.0,"Charlotte,NC ",John Kirkland,590.0,i hate black,black,kirkland_john,Sun Sep 24 13:19:30 +0000 2017,@realDonaldTrump I am a black father of 3 black sons.  I respect you as president.  Please stop inciting hate... please,351593250.0,0.6705,,0.1,0.548,0.352
